state,date,cases,Population,deaths,EmergDec_x,EmergDec_y,SchoolClose,GathRestrict25,GathRestrictAny,OtherBusinessClose,RestaurantRestrict,GathRestrict10,CaseIsolation,StayAtHome,PublicMask,Quarantine,NEBusinessClose,TravelRestrictIntra,GathRestrict50,BusinessHealthSafety,GathRestrict250,GathRecomAny,GathRestrict1000,TravelRestrictExit,TravelRestrictEntry,GathRestrict100,GathRestrict5,GathRestrict500,sub_region_1,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,mobility_score
Michigan,2020-05-05,44451,9986857,4183,87,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,Michigan,-31.0,-6.0,41.0,-40.0,-54.0,20.0,5712.0
Michigan,2020-04-14,27001,9986857,1768,87,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,Michigan,-53.0,-24.0,-9.0,-55.0,-61.0,26.0,5050.0
Utah,2020-04-25,3948,3205958,41,37,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,Utah,-35.0,-8.0,81.0,-33.0,-28.0,9.0,5265.0
Utah,2020-02-07,0,3205958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,6895.0
Virginia,2020-02-23,0,8535519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Virginia,5.0,3.0,43.0,7.0,2.0,-1.0,6704.0
Alabama,2020-02-27,0,4903185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alabama,12.0,6.0,14.0,9.0,2.0,-1.0,9207.0
Colorado,2020-03-05,0,5758736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Colorado,8.0,10.0,33.0,0.0,2.0,-1.0,7187.0
Tennessee,2020-04-09,4634,6829174,94,97,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,Tennessee,-33.0,-4.0,0.0,-35.0,-46.0,17.0,6339.0
Indiana,2020-05-10,24126,6732219,1508,94,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,,,,,,,,1803.0
Arizona,2020-04-10,3112,7278717,106,17,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,Arizona,-38.0,-13.0,-21.0,-43.0,-50.0,20.0,6283.0
Massachusetts,2020-02-20,1,6892503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Massachusetts,3.0,-2.0,-1.0,-2.0,-8.0,2.0,8095.0
Minnesota,2020-05-08,10088,5639632,534,89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,Minnesota,-31.0,2.0,65.0,-47.0,-46.0,19.0,7005.0
Wisconsin,2020-02-23,0,5822434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wisconsin,15.0,10.0,65.0,8.0,5.0,-2.0,7484.0
Rhode Island,2020-03-30,408,1059361,4,7,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,Rhode Island,-45.0,-22.0,5.0,-62.0,-47.0,20.0,4393.0
Iowa,2020-03-17,23,3155070,0,101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,Iowa,-21.0,34.0,65.0,-2.0,-23.0,8.0,7260.0
Indiana,2020-02-17,0,6732219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Indiana,5.0,-3.0,-4.0,2.0,-13.0,4.0,7984.0
South Carolina,2020-05-03,6626,5148714,275,48,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,South Carolina,-22.0,1.0,27.0,-21.0,-29.0,6.0,6369.0
Washington,2020-01-22,1,7614893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,7553.0
North Carolina,2020-03-12,15,10488084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,North Carolina,9.0,18.0,44.0,-1.0,-2.0,0.0,8254.0
Northern Mariana Islands,2020-04-05,8,55144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,4582.0
Colorado,2020-01-23,0,5758736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,7531.0
Puerto Rico,2020-04-08,620,2933408,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,2997.0
Hawaii,2020-04-20,584,1415872,10,7,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,Hawaii,-51.0,-29.0,-65.0,-67.0,-47.0,21.0,5149.0
District of Columbia,2020-01-23,0,705749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,5047.0
Wyoming,2020-03-02,0,578759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wyoming,5.0,8.0,0.0,-18.0,4.0,0.0,4588.0
Guam,2020-02-09,0,164229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,7229.0
South Dakota,2020-04-25,2147,884659,10,68,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,South Dakota,-35.0,1.0,57.0,-24.0,-25.0,11.0,5477.0
Delaware,2020-02-11,0,973764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,7908.0
Nebraska,2020-02-13,0,1934408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,5904.0
Ohio,2020-03-31,2199,11689100,55,90,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,Ohio,-41.0,-16.0,7.0,-28.0,-49.0,20.0,5618.0
Arizona,2020-03-31,1289,7278717,25,17,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,Arizona,-33.0,-10.0,-17.0,-35.0,-44.0,16.0,6991.0
Oregon,2020-03-29,548,4217737,13,38,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,Oregon,-51.0,-25.0,-22.0,-47.0,-38.0,12.0,3953.0
Virginia,2020-05-10,24081,8535519,839,135,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,,,,,,,,1769.0
Ohio,2020-03-16,50,11689100,0,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,Ohio,-16.0,26.0,16.0,-9.0,-18.0,7.0,6498.0
Nevada,2020-03-11,7,3080156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Nevada,5.0,11.0,11.0,-1.0,0.0,1.0,6540.0
