,state,date,cases,deaths,population,emergdec,schoolclose,gathrestrict25,gathrestrictany,otherbusinessclose,restaurantrestrict,gathrestrict10,caseisolation,stayathome,publicmask,quarantine,nebusinessclose,travelrestrictintra,gathrestrict50,gathrecomany,gathrestrict250,gathrestrict5,gathrestrict100,gathrestrict1000,gathrestrict3,travelrestrictexit,travelrestrictentry,gathrestrict500,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,recovered,active,incident_rate,people_tested,people_hospitalized,mortality_rate,testing_rate,hospitalization_rate
6909,Pennsylvania,2020-05-16,65185,4480,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-34.0,-6.0,128.0,-36.0,-25.0,8.0,,60705.0,509.17869090498357,327836.0,,6.87274679757613,2560.8208224518858,
6910,Pennsylvania,2020-05-17,65700,4495,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-31.0,-11.0,80.0,-42.0,-26.0,7.0,,61205.0,513.2015032976516,332904.0,,6.841704718417048,2600.4084209102193,
6911,Pennsylvania,2020-05-18,66669,4515,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-26.0,-9.0,40.0,-48.0,-42.0,16.0,,62154.0,520.7706396248269,340609.0,,6.772262970796023,2660.594381076253,
6912,Pennsylvania,2020-05-19,67311,4628,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-24.0,-5.0,45.0,-46.0,-43.0,16.0,,62683.0,525.7854853648132,349700.0,,6.875547830220915,2731.606783914593,
6913,Pennsylvania,2020-05-20,68126,4770,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-25.0,-3.0,47.0,-45.0,-43.0,16.0,,63356.0,532.1516836172879,349700.0,,7.001732084666648,2731.606783914593,
6914,Pennsylvania,2020-05-21,69252,4869,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-24.0,-1.0,88.0,-42.0,-44.0,16.0,,64383.0,540.9471918777622,368906.0,,7.030843874545139,2881.6303466594136,
6915,Pennsylvania,2020-05-22,70211,5010,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-32.0,-7.0,24.0,-47.0,-44.0,18.0,37767.0,27434.0,548.438215342944,379001.0,,7.135634017461651,2960.485280841907,
6916,Pennsylvania,2020-05-23,71009,5112,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-34.0,-3.0,91.0,-39.0,-24.0,8.0,39519.0,26378.0,554.6716217300296,388452.0,,7.19908743962033,3034.3097467120147,
6917,Pennsylvania,2020-05-24,71563,5136,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-27.0,-2.0,176.0,-41.0,-26.0,4.0,40627.0,25800.0,558.9990742844725,396095.0,,7.176893087209871,3094.0114071336884,
6918,Pennsylvania,2020-05-25,71925,5146,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-34.0,-13.0,138.0,-57.0,-74.0,20.0,40911.0,25868.0,561.8267598886392,403114.0,,7.154675008689607,3148.8388249669642,
6919,Pennsylvania,2020-05-26,72778,5163,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-24.0,-6.0,75.0,-44.0,-42.0,14.0,41868.0,25747.0,568.4897870166892,408472.0,,7.094176811673857,3190.6916964231104,
6920,Pennsylvania,2020-05-27,73557,5265,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-23.0,-4.0,69.0,-42.0,-41.0,14.0,43038.0,25254.0,574.5747789659872,419407.0,,7.157714425547535,3276.108111013062,
6921,Pennsylvania,2020-05-28,74220,5373,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-26.0,-5.0,29.0,-44.0,-41.0,16.0,44826.0,24021.0,579.7536617161599,427846.0,,7.239288601455133,3342.027555249423,
6922,Pennsylvania,2020-05-29,74984,5464,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,-30.0,-8.0,36.0,-44.0,-39.0,17.0,46370.0,23150.0,585.7214843724673,438309.0,,7.286887869412141,3423.7570427532783,
6923,Pennsylvania,2020-05-30,75697,5537,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,-29.0,-2.0,130.0,-30.0,-14.0,6.0,47133.0,23027.0,591.2909314326079,447772.0,,7.314688825184617,3497.675244057779,
6924,Pennsylvania,2020-05-31,76129,5555,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,-24.0,-6.0,142.0,-34.0,-16.0,5.0,48190.0,22384.0,594.6654070707293,455657.0,,7.296825125773357,3559.267235739697,
6925,Pennsylvania,2020-06-01,76646,5567,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,-21.0,-6.0,59.0,-43.0,-39.0,13.0,48428.0,22651.0,598.7038420357961,462329.0,,7.263262270699058,3611.3841372617962,
6926,Pennsylvania,2020-06-02,77225,5667,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,-18.0,-1.0,72.0,-40.0,-40.0,13.0,48838.0,22720.0,603.2265767452228,472871.0,,7.338297183554548,3693.730716375401,
6927,Pennsylvania,2020-06-03,77780,5742,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,-23.0,-4.0,38.0,-43.0,-40.0,14.0,49915.0,22123.0,607.5618405858653,475391.0,,7.382360503985599,3713.4151575977758,
6928,Pennsylvania,2020-06-04,78335,5832,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,-22.0,-1.0,53.0,-40.0,-40.0,14.0,51019.0,21484.0,611.8971044265073,491502.0,,7.444947979830216,3839.262789555592,
6929,Pennsylvania,2020-06-05,78815,5898,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,-24.0,-5.0,52.0,-39.0,-38.0,14.0,52069.0,20848.0,615.6465218021981,499206.0,,7.483347078601789,3899.4409384354262,
6930,Pennsylvania,2020-06-06,79505,5931,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,-25.0,-2.0,139.0,-24.0,-13.0,4.0,52560.0,21014.0,621.0363092797534,510828.0,,7.4599081818753525,3990.223706644335,
6931,Pennsylvania,2020-06-07,79908,5943,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,-17.0,-2.0,180.0,-26.0,-14.0,2.0,53670.0,20295.0,624.1842576180935,520385.0,,7.4373028983330824,4064.8761688515747,
6932,Pennsylvania,2020-06-08,80339,5953,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,-14.0,-2.0,87.0,-35.0,-37.0,11.0,53670.0,20716.0,627.5509219700157,527950.0,,7.409850757415452,4123.968548949699,
